;Unnamed: 0;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
149;149;femenino;industria;fabrica de;la loma oriental;2;60.0;16/12/2016;6890000.0;microempresarial
150;150;masculino;servicio;barberia;la loma;1;60.0;24/08/2018;7800000.0;microempresarial
151;151;femenino;servicio;cafe e internet;buenos aires;3;9.0;5/12/2016;6890000.0;microempresarial
152;152;femenino;servicio;fabrica de;castilla;3;5.0;9/02/2017;7377000.0;microempresarial
153;153;masculino;comercio;variedades;barrio caicedo;2;9.0;24/10/2017;7300000.0;microempresarial
154;154;masculino;industria;fabrica de;manrique oriental;2;3.0;18/06/2018;4000000.0;microempresarial
155;155;masculino;servicio;peluqueria;robledo;2;7.0;21/02/2018;7000000.0;microempresarial
156;156;femenino;servicio;comidas rapidas;florencia;3;5.0;18/10/2018;1500000.0;microempresarial
157;157;femenino;comercio;comidas rapidas;andalucia;2;2.0;21/06/2018;5000000.0;microempresarial
158;158;masculino;servicio;mantenimiento en;enciso;3;8.0;27/09/2018;7800000.0;microempresarial
159;159;masculino;comercio;comidas rapidas;doce de octubre no.1;2;6.0;24/10/2018;4000000.0;microempresarial
160;160;femenino;industria;fabrica de;manrique central no. 2;2;3.0;12/06/2019;4500000.0;microempresarial
161;161;masculino;industria;fabrica de muebles;cabecera san cristobal;3;60.0;26/10/2018;7800000.0;microempresarial
162;162;femenino;comercio;comidas rapidas;aranjuez;3;4.0;13/06/2017;4000000.0;microempresarial
163;163;masculino;industria;fabrica de alimentos;robledo;3;7.0;1/11/2018;7800000.0;microempresarial
164;164;femenino;comercio;tienda;robledo;2;7.0;13/02/2017;5000000.0;microempresarial
165;165;femenino;comercio;comidas rapidas;san javier no.1;1;13.0;14/03/2018;7800000.0;microempresarial
166;166;femenino;servicio;cafe e internet;robledo;1;7.0;24/06/2016;6000000.0;microempresarial
167;167;femenino;industria;fabrica de;manrique central no. 1;1;4.0;13/11/2018;2500000.0;microempresarial
168;168;femenino;comercio;legumbreria;manrique central no. 2;2;3.0;14/04/2016;6000000.0;microempresarial
169;169;masculino;servicio;cafe e internet;buenos aires;3;9.0;6/02/2018;4000000.0;microempresarial
170;170;femenino;comercio;variedades;robledo;1;7.0;24/08/2018;7800000.0;microempresarial
171;171;femenino;industria;fabrica de;la floresta;2;13.0;21/12/2018;5000000.0;microempresarial
172;172;femenino;comercio;variedades;cabecera san antonio ;2;80.0;17/06/2016;6800000.0;microempresarial
173;173;masculino;comercio;panaderia;pedregal alto;3;60.0;4/12/2017;7000000.0;microempresarial
174;174;masculino;comercio;ferreteria;villa del socorro;1;2.0;15/02/2018;7800000.0;microempresarial
175;175;femenino;comercio;variedades;buenos aires;3;9.0;1/08/2018;1000000.0;microempresarial
176;176;femenino;industria;fabrica de;la libertad;2;8.0;31/05/2018;7800000.0;microempresarial
177;177;femenino;comercio;variedades;el chagualo;3;10.0;25/05/2018;7800000.0;microempresarial
178;178;femenino;comercio;miscelanea;popular;1;1.0;26/10/2016;4000000.0;microempresarial
179;179;femenino;industria;fabrica de arepas;san javier no.1;3;13.0;15/06/2016;6500000.0;microempresarial
180;180;femenino;industria;fabrica de;aranjuez;2;4.0;22/03/2018;3400000.0;microempresarial
181;181;masculino;comercio;comidas rapidas;popular;2;1.0;22/11/2017;4000000.0;microempresarial
182;182;masculino;comercio;tienda;picacho;1;6.0;4/05/2018;7000000.0;microempresarial
183;183;femenino;industria;fabrica de;campo valdes no. 1;3;4.0;25/01/2019;5000000.0;microempresarial
184;184;femenino;servicio;tienda;enciso;2;8.0;25/04/2017;5000000.0;microempresarial
185;185;femenino;industria;fabrica de;santa cruz;2;2.0;17/07/2018;7800000.0;microempresarial
186;186;masculino;industria;fabrica de;trinidad;3;15.0;19/05/2016;3000000.0;microempresarial
187;187;femenino;comercio;fabrica de arepas;barrio caicedo;2;9.0;20/03/2019;4000000.0;microempresarial
188;188;femenino;industria;fabrica de;robledo;2;7.0;17/08/2018;5000000.0;microempresarial
189;189;femenino;comercio;variedades;el poblado;3;14.0;16/06/2017;7000000.0;microempresarial
190;190;femenino;comercio;comidas rapidas;santa cruz;2;2.0;3/12/2018;6000000.0;microempresarial
191;191;masculino;comercio;almacen de ropa en;santa cruz;2;2.0;5/02/2019;8000000.0;microempresarial
192;192;femenino;industria;carpinteria;cabecera san antonio ;2;80.0;15/09/2016;6500000.0;microempresarial
193;193;masculino;servicio;recreativo educativo;cabecera san cristobal;3;60.0;6/02/2019;7800000.0;microempresarial
194;194;femenino;industria;fabrica de;manrique central no. 1;2;4.0;27/06/2019;8281000.0;microempresarial
195;195;masculino;industria;fabrica de repuestos;la floresta;2;12.0;9/07/2018;7800000.0;microempresarial
196;196;femenino;comercio;tienda;la francia;2;2.0;8/04/2019;6000000.0;microempresarial
198;198;masculino;servicio;comidas rapidas;castilla;2;5.0;26/04/2016;6890000.0;microempresarial
199;199;femenino;servicio;distribuidora de;san javier no.1;2;13.0;3/04/2017;7000000.0;microempresarial
200;200;masculino;industria;fabrica de repuestos;guayabal;3;15.0;29/12/2017;7300000.0;microempresarial
201;201;femenino;industria;fabrica de;manrique central no. 1;2;4.0;21/08/2018;3000000.0;microempresarial
202;202;femenino;comercio;almacen de ropa en;20 de julio;1;13.0;8/06/2018;2000000.0;microempresarial
203;203;masculino;comercio;variedades;la milagrosa;3;9.0;9/03/2018;5000000.0;microempresarial
204;204;femenino;servicio;peluqueria;aranjuez;2;4.0;24/09/2018;7800000.0;microempresarial
205;205;femenino;servicio;recreativo educativo;castilla;3;5.0;17/12/2018;7500000.0;microempresarial
206;206;masculino;comercio;distribuidora de;villa hermosa;3;8.0;4/08/2017;7300000.0;microempresarial
207;207;femenino;comercio;restaurante;manrique central no. 1;2;4.0;27/09/2018;6000000.0;microempresarial
208;208;femenino;comercio;almacen de ropa en;buenos aires;3;9.0;14/06/2017;7300000.0;microempresarial
209;209;femenino;comercio;taller de electronica;barrio caicedo;1;9.0;14/11/2018;3000000.0;microempresarial
210;210;femenino;industria;fabrica de;castilla;3;5.0;4/01/2019;7800000.0;microempresarial
211;211;femenino;comercio;variedades;la pradera;2;13.0;10/07/2017;7370000.0;microempresarial
212;212;masculino;servicio;productos de belleza;robledo;2;4.0;10/07/2018;5000000.0;microempresarial
213;213;femenino;industria;fabrica de muebles;castilla;3;5.0;22/09/2017;4000000.0;microempresarial
214;214;masculino;industria;fabrica de;buenos aires;3;9.0;12/06/2019;2500000.0;microempresarial
215;215;femenino;industria;fabrica de;san pablo;2;1.0;21/02/2018;1000000.0;microempresarial
216;216;masculino;comercio;almacen de ropa en;robledo;2;7.0;10/07/2017;7377000.0;microempresarial
217;217;femenino;comercio;tienda;manrique central no. 2;3;3.0;22/05/2019;5000000.0;microempresarial
218;218;femenino;comercio;comidas rapidas;robledo;2;7.0;27/01/2017;4000000.0;microempresarial
219;219;femenino;comercio;variedades;jardin botanico;2;3.0;30/01/2019;4000000.0;microempresarial
220;220;masculino;industria;fabrica de;manrique oriental;1;3.0;3/10/2018;7800000.0;microempresarial
221;221;masculino;servicio;lavanderia;robledo;3;7.0;9/07/2018;7800000.0;microempresarial
222;222;femenino;industria;fabrica de;buenos aires;1;9.0;12/07/2018;4000000.0;microempresarial
223;223;femenino;comercio;venta de calzado;belen;2;16.0;19/10/2016;4000000.0;microempresarial
224;224;masculino;servicio;taller de electronica;san javier no.1;3;13.0;15/02/2019;8122200.0;microempresarial
225;225;masculino;comercio;tienda;manrique central no. 1;3;4.0;10/05/2018;7800000.0;microempresarial
226;226;masculino;comercio;papeleria;el salvador;3;9.0;26/04/2019;7000000.0;microempresarial
227;227;masculino;comercio;carpinteria;cabecera san cristobal;2;60.0;1/08/2018;3000000.0;microempresarial
228;228;masculino;industria;ebanistaria;belencito;2;13.0;4/11/2016;4000000.0;microempresarial
229;229;masculino;industria;fabrica de;cabecera san cristobal;2;60.0;19/12/2018;4000000.0;microempresarial
230;230;masculino;comercio;tienda;san antonio;3;8.0;21/06/2019;4500000.0;microempresarial
231;231;femenino;servicio;criadero de animales;belen;2;16.0;9/03/2017;4000000.0;microempresarial
232;232;femenino;comercio;variedades;miranda;2;4.0;1/02/2018;2000000.0;microempresarial
233;233;femenino;industria;fabrica de;tejelo;3;5.0;24/04/2017;5000000.0;microempresarial
234;234;masculino;servicio;recreativo educativo;la esperanza;3;6.0;7/03/2016;6890000.0;microempresarial
235;235;masculino;industria;ebanistaria;belencito;2;13.0;18/05/2018;2000000.0;microempresarial
236;236;femenino;industria;fabrica de;las esmeraldas;2;4.0;6/03/2018;3000000.0;microempresarial
237;237;femenino;servicio;recreativo educativo;robledo;2;7.0;19/05/2016;2000000.0;microempresarial
238;238;masculino;comercio;comidas rapidas;barrio caicedo;1;9.0;3/10/2018;7500000.0;microempresarial
240;240;masculino;comercio;restaurante;belen;2;16.0;23/02/2017;5000000.0;microempresarial
241;241;masculino;industria;comidas rapidas;moravia;2;4.0;27/06/2018;3500000.0;microempresarial
242;242;masculino;industria;fabrica de productos;santander;2;6.0;18/08/2017;7377000.0;microempresarial
243;243;masculino;industria;panaderia;castilla;2;5.0;16/05/2017;7370000.0;microempresarial
244;244;femenino;comercio;variedades;buenos aires;3;9.0;15/02/2017;6800000.0;microempresarial
245;245;masculino;industria;fabrica de;campo valdes no. 1;2;4.0;7/03/2018;6000000.0;microempresarial
246;246;femenino;comercio;almacen de ropa en;aranjuez;2;4.0;13/08/2018;7812242.0;microempresarial
247;247;femenino;servicio;mantenimiento en;doce de octubre no.1;1;6.0;27/01/2017;6000000.0;microempresarial
248;248;femenino;comercio;variedades;santander;2;6.0;21/06/2018;6000000.0;microempresarial
249;249;femenino;industria;fabrica de;campo valdes no. 1;3;4.0;30/11/2017;7000000.0;microempresarial
250;250;masculino;comercio;tienda de helados;campo valdes no. 1;2;4.0;11/04/2016;6890000.0;microempresarial
251;251;masculino;comercio;tienda;belencito;2;13.0;10/03/2016;6890000.0;microempresarial
252;252;femenino;servicio;peluqueria;campo valdes no. 1;3;4.0;3/04/2018;7800000.0;microempresarial
253;253;masculino;servicio;organización y;florencia;3;5.0;21/08/2018;6000000.0;microempresarial
254;254;femenino;industria;fabrica de;santa cruz;2;2.0;9/07/2018;4500000.0;microempresarial
255;255;masculino;comercio;variedades;robledo;2;7.0;17/01/2017;7377000.0;microempresarial
256;256;masculino;industria;fabrica de;pablo vi;2;2.0;16/05/2017;7000000.0;microempresarial
257;257;femenino;servicio;comidas rapidas;boyaca;3;5.0;6/03/2018;6000000.0;microempresarial
258;258;masculino;servicio;variedades;robledo;2;7.0;30/12/2016;4000000.0;microempresarial
259;259;femenino;comercio;tienda;manrique central no. 2;2;3.0;6/05/2016;3500000.0;microempresarial
260;260;femenino;industria;fabrica de;robledo;2;7.0;10/07/2018;3800000.0;microempresarial
261;261;masculino;comercio;cafeteria;santa cruz;2;2.0;8/08/2018;7800000.0;microempresarial
262;262;femenino;comercio;variedades;belen;3;16.0;12/07/2017;7370000.0;microempresarial
263;263;femenino;comercio;variedades;la francia;2;2.0;1/08/2018;6000000.0;microempresarial
264;264;masculino;comercio;legumbreria;pedregal;3;6.0;15/03/2018;7800000.0;microempresarial
265;265;masculino;comercio;variedades;campo valdes no. 1;3;4.0;7/03/2018;7000000.0;microempresarial
266;266;masculino;comercio;restaurante;boyaca;3;5.0;5/05/2017;6000000.0;microempresarial
268;268;femenino;comercio;almacen de ropa en;robledo;1;7.0;17/05/2017;6000000.0;microempresarial
269;269;femenino;comercio;variedades;prado;3;10.0;18/04/2016;6890000.0;microempresarial
270;270;femenino;servicio;servicios;robledo;2;7.0;19/07/2017;7300000.0;microempresarial
271;271;femenino;comercio;distribuidora de;cabecera san cristobal;2;60.0;17/08/2017;4000000.0;microempresarial
272;272;femenino;industria;fabrica de;picacho;1;6.0;7/09/2016;4000000.0;microempresarial
273;273;femenino;comercio;fabrica de;santa cruz;2;2.0;18/07/2018;7812000.0;microempresarial
274;274;masculino;industria;fabrica de;doce de octubre no.1;1;6.0;31/05/2017;5000000.0;microempresarial
275;275;femenino;comercio;variedades;picacho;2;6.0;4/07/2018;5000000.0;microempresarial
276;276;femenino;servicio;mantenimiento en;san joaquin;3;11.0;9/08/2018;7800000.0;microempresarial
277;277;femenino;comercio;variedades;castilla;3;5.0;2/09/2016;6000000.0;microempresarial
278;278;masculino;servicio;mantenimiento en;la america;3;12.0;10/05/2016;6890000.0;microempresarial
279;279;masculino;industria;fabrica de;robledo;2;7.0;15/11/2017;5000000.0;microempresarial
280;280;femenino;comercio;comidas rapidas;manrique oriental;2;7.0;30/05/2018;7800000.0;microempresarial
281;281;femenino;industria;fabrica de;manrique central no. 2;2;3.0;29/01/2018;7800000.0;microempresarial
282;282;femenino;servicio;cafe e internet;san javier no.1;1;13.0;31/10/2018;3000000.0;microempresarial
283;283;masculino;comercio;comidas rapidas;enciso;2;8.0;12/06/2019;8000000.0;microempresarial
284;284;femenino;comercio;tienda;campo valdes no. 1;3;4.0;25/02/2016;300000.0;microempresarial
285;285;femenino;comercio;almacen de ropa en;villa niza;2;2.0;12/04/2018;5000000.0;microempresarial
286;286;masculino;comercio;almacen de ropa en;barrio caicedo;1;9.0;14/08/2018;5500000.0;microempresarial
287;287;femenino;industria;fabrica de;la francia;2;2.0;1/11/2016;6890000.0;microempresarial
288;288;masculino;comercio;distribuidora de;el pinal;2;8.0;3/04/2019;8281000.0;microempresarial
